job_title,company,location,job_summary,post_date,more_info,salary,job_url
SRE / DevOps AWS / Freelance,Next Mondays,Paris (75),"Dans un contexte de forte croissance, vous prendrez part à plusieurs projets au sein d'un groupe à dimension internationale. Vous participerez notamment à : - Déploiement de microservices - Déploiement de certain composants d'une plateforme Legacy dans le cloud AWS et Alibaba Cloud - Déploiement sur le cloud AWS d'une plateforme Legacy dont la gestion était auparavant externalisée",PostedOffre publiée il y a plus de 30 jours,750 € par jourTemps plein +1,750 € par jour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOarXqP_IanWTdE2Rku-oimkThdDAKWziVXxnSyQIN3QFLYcNtk2qz661Nx7utYytsDOXpxPTKI_G4JIp1t2GTIs2ykfSqi4n0QMpUCNo_Ry3W4e5_GpcxQecDwF8nQQCUGLrKG40ckINLgfESULmNQegcaU3rE8DL378cNwyfJNYqTkyySaVs5vZ-7jEl_pOEJtAehAyHEVnGnknZvfaQQorr2keQ-doBtGT77Dcz__20EA5Xciv1Dem05c3uhVpcf3neziE6fSszwGJ5UbtpKUxUQHLKMx0VZZVJNO2LZc6rAMvvVFufhw3WS7HMFaH-8tj_ViQZijDa4tJSjuYdEMFLLDXjuMtxUxUrWrfvbq4xV-Y_Q73HcdoYbeW-aW0IuIixL96JjsQ2exOSH7Rlb3kgrYRmRq3eHuC_Zu_d1yCaxS0lcIC-N4XKbCs_FO2QyaZ1ZMqOVaYTL1j3vTtbBhp3337oZ-u369YK42PUt3bUGHfXnZJXgrNAjp1rRR5Aq3vrRe-maVlG_axcjrR5oFWGEuBCWb5YsiTgVTRJz8d5Za61bf6jULfKWqy4yJfcbdYccP6QJE1rFinfG9lQVr0ZHIPtG5AbZUfxL7pelMO-6_TDSDCmDUE=&xkcb=SoCN-_M3ZBRpQ0SnQR0KbzkdCdPP&p=13&fvj=0&vjs=3
DevOps (IT),PONTOON,Paris (75),"En tant qu’Ingénieur DevOps, vos missions :


Vous accompagnez les équipes existantes sur l’utilisation d’Azure Devops.
Vous intervenez sur les différents domaines : Backlog, Contrôle de source (Git), Pipelines de Build et de Release.
Vous automatisez les déploiements applicatifs sur nos environnements de Dev/Test et production.
Vous contribuez à la migration des nouveaux arrivants vers Azure Devops.
Vous participez à la gestion des outils annexes lié à notre ALM (Artifactory, Sonar, etc.)
Vous pourrez être aussi amené à aider les différentes équipes sur la mise en place et la gestion des environnements Azure de Dev/Test. A ce titre, la connaissance du portail Azure sera un plus.
",PostedOffre publiée il y a 9 jour,De 45 000 € à 60 000 € par anTemps plein,De 45 000 € à 60 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWyFAXkRRkwDCSWEWoTMd3lTUoLhlkX7CZTtmWeK0vCQ33-iXN4gxG9_JHrMFgwGwDQtwuF-ahPsqWNlJjgGFVRsfXaw8NOZF98s3VE70Y_6_Z1ePfGij0qDgNojxcSgi6vCohtwp6GjaVkQ7PPdjbRZKAQXCT63wtlexDngX5kJh6WmI3vy2xK1xq_MS0Hk23JNZVLrz-sGT4iWqAkOAYdOua6z16olisift42LYldbCuRHEmtLx4n4oMaYxakzlAGoBsPSMdGUC6Wm64eGs5hrjHOtcpr4YGLRFWJ_aejwiT7CZG7x6O96lU21hFIkfP7tT0QsbtUgyceorS9Royf9gaRb8rg9wbnZHUPUWry_yaVwDsgEVZ58AFY7dqNn45oR0Kdh4WSuh-EA0HhcyxQEET5-KyixL5oIKKBJt5_eXpylFIc-U1qI6Tq1q2aX1nR_JTOdft72KaqMfJp0zV_G5ReDZfjOfDnUSNLOaMMecbJcetRZo-_1U28n5Yh5pYl5Kgh3ZUqZbIXub-coL9V1bwx6ESAWMHGFD56SveYKXl1UxWrqG5s-NOQ34-Ype00ArRVAFx3hKh9osfKfKdp-mZegEZ3hrXUu3HM-nEUa72GUnahx3P1nAfJcirVVJDpCK0Jb2VLjuipNWc4S3KX95S32i-5ZoloNPFYa-6CaIZRa8dHe5TUNo8gxkDd4ygA=&xkcb=SoAQ-_M3ZBRpQ0SnQR0JbzkdCdPP&p=14&fvj=0&vjs=3
DevOps (IT),PONTOON,Paris (75),"En tant qu’Ingénieur DevOps, vos missions :


Vous accompagnez les équipes existantes sur l’utilisation d’Azure Devops.
Vous intervenez sur les différents domaines : Backlog, Contrôle de source (Git), Pipelines de Build et de Release.
Vous automatisez les déploiements applicatifs sur nos environnements de Dev/Test et production.
Vous contribuez à la migration des nouveaux arrivants vers Azure Devops.
Vous participez à la gestion des outils annexes lié à notre ALM (Artifactory, Sonar, etc.)
Vous pourrez être aussi amené à aider les différentes équipes sur la mise en place et la gestion des environnements Azure de Dev/Test. A ce titre, la connaissance du portail Azure sera un plus.
",Postedil y a 9 jours,De 45 000 € à 60 000 € par anTemps plein,De 45 000 € à 60 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHHRM07jvZ_9CBb8QXW1-TjD3eGHqqfxA2uagtxfXOavjI4kVlz8Oj723Abr8mjWyFAXkRRkwDCSWEWoTMd3lTUoLhlkX7CZTtmWeK0vCQ33-iXN4gxG9_JHrMFgwGwDQtwuF-ahPsqWNlJjgGFVRsfXaw8NOZF9_uT-FJyrmT-BwiK_NXdPG82pGCRHbpqE_Q11ub0NqbAW-j549s9gtZTP-nhArBqBk9NVcOItgDcQ2S5WBuasbyJ1x7b-jj2ljktz63kl_Log_j5QVvJo5f5KjP5c8qSG26_Ms2Mp2lcYnQcB3v08mwP1YmDZ78kw1Bf00bI7UVZZscDh244OlEKyLFfXMZT21wEKqFI8s4IXX1SSkBuCgC81Dj2ClKI4Y9IvbRCLHtFT6EPTF_qYFcMAmsjArjF8k6DbNoT1nmAATtXUh7XffvQeuojMWE1UkIEotvoNcUAjpo5dke-hlE8PDXu-6NSK8uBj40iJwb_I9xNWS8iJ0_CAxZruKS6QT_nPLd9g1BLav04mMSj6BZYANHXk5aNNAnLG9Fs2asj02TgOXajYzJ15_L1Qt7EQtWDB22Pq6Z0zpFw2b4gyYNITZhqiEtpygNH-DCcwDPbzjd3XQkzCsnhQe7T-peU-VaDKEmhOL7zWGpef0q0KdLkl0VZ8Agj7PdOjrZjXo36e4cvSVGL6Pv5wHvvByWZanDXwVClkx_X6U1iLxbrYWXoscZs-UxmvhoW_j7wzmhdyl4udkfJS6HaX1Zy1bl5Ug=&xkcb=SoAh-_M3ZBRnPLepqR0LbzkdCdPP&p=0&fvj=0&vjs=3
DevOps - Plateforme Saas BtoB d’engagement Communautaire – P...,EASY PARTNER,Télétravail à Paris (75),"
Terraform / Google-cloud-platform / Web3 / Datadog
 DevOps Manager, DevOps Developer / CDI / Environ 80k€ / 3 - 6 ans / Paris
 Le poste
 Nous sommes une plateforme d’engagement communautaire conçue pour les petites et moyennes marques. Notre solution permet aux marques et aux organisations d’offrir des expériences exclusives à leurs clients et à leur communauté. Nous tirons parti de la technologie blockchain et NFT pour gérer facilement l’accès à un riche écosystème d’avantages et d’avantages, et pour transférer de la valeur à la communauté. Nous recherchons un ingénieur DevOps. Vous travaillerez en étroite collaboration avec notre directeur technique, pour construire une plate-forme à partir de zéro. ##Profil : * Vous avez au moins 4-5 ans sur un poste de DevOps idéalement en Saas B2B * Vous avez une expérience dans une scale-up * Vous avez envie de vous investir dans un projet innovant * Vous maitrisez l’anglais à l’oral comme à l’écrit * Vous avez l’esprit d’équipe, vous êtes autonome et souhaitez travailler dans un environnement dynamique * Vous avez une appétence pour le Web 3 
Les responsabilités

 Gérez notre infrastructure cloud sur GCP avec Terraform
 Construire et maintenir des systèmes qui surveilleront tous les aspects de l’application et de l’infrastructure
 Concevoir et maintenir des pipelines CI/CD efficaces et robustes
 Travailler en étroite collaboration avec les développeurs pour améliorer l’outillage et la productivité

 Pourquoi venir chez nous?
 ## Avantages : * Statut Cadre * Salaire attractif + BSPCE * Possibilité de faire du full remote
",PostedAujourd'hui,80 000 € par anCDI +1,80 000 € par an,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwMULmlYjVk_Br5rNmm-MHe0EXU9eEpgTPCbIqjx6pfOuehYV5wL63yhIwJypL8MpaJgLdG2KXff38GTp2tlI24sq9e3Xj5YvZnqRaSeVniTzKEeEK8DswgdgyMsgBOEN01ZLgkrpJkRq-VO4rmG-5Gy7X2ICnB7AD9jxj8_nFOO1NAjuWFKZPy2o_YLSpvXbtWnr5yJtwt7xvF7BXUqqjCcfEBqgOR5CYqt-f4TK4c686w6-_LZKUvlye_Gqhn4PBpXnKtWsxWS7_mOP-Y8mA9jPIqv4vCfb8jE5eoZb8A9XkvJUx7czZR2JVLa4V2AcT4kp9WjfHp_fKry234aMvZG-iHwnHPPP_52rJCJCX4RKlovv5vgiyWnKVVPPRayAsPKdATuKL2b7RMquJO29J6jKnn2dnHJxv_hjsSsqqV9vTTFnECpvxueU2LBbcV6XkhKRY1ipNAxkzvXMsobAVHtscoQS9jlPwcy2pAGcP0AnkiIE54nDj44JxCu1ayQ_drbp1x3-a1mS0BzObcCSSPEO7xfHqEV4EYntwUZZWNFnjdhHTrHqQTp-lS4Uc9UJNV-Tm7LZ3QEglrOjKe11jn-BKP9maBPGKs85M5ZOE1Cxchz4kI-GxjeK_u8GHKbPLXQy3C_KRXYsZhByC4CAXHYXsdZhXu75aZD_SsAp_Ywzgx1TPKFy86MSnnSWQF3wDgxD5_BV4JRsTdai3R67pp_izyQo6nMh5VlIzqGWS-0HuZ2138k3zZGFBdLenRvWKL2Wz1bZlxg==&xkcb=SoAI-_M3ZBRnPLepqR0JbzkdCdPP&p=2&fvj=0&vjs=3
DevOps F/H,NEXTON CONSULTING,Paris 2e (75),"
 NEXTON recrute un 
 DEVOPS AWS/GCP H/F , en 
 CDI , à 
 Paris ! 
 

Qui sommes-nous ? 

 NEXTON c'est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP PARIBAS…). 
 
 Nous sommes experts du digital aussi bien sur de l'accompagnement stratégique qu'opérationnel. 
 
 Fort du succès, Nexton connaît aujourd'hui un développement significatif, autour de ses valeurs piliers : cohésion, professionnalisme et performance. 
 
 Et pour vous ? Notre politique de développement des compétences dynamique saura vous séduire avec un programme de suivi de carrière sur-mesure. 
 

Contexte : 

 Pour la DSI de notre client, un acteur majeur de l'énergie, nous recherchons un 
 Devops expert en AWS et GCP dans le cadre des projets DDesk IT & Daas. Le but étant de renforcer le dispositif de compétences orienté sur le traitement de la donnée. 
 

Missions : 


BUILD : 


DDesk IT 

Conception et réalisation de flux de collecte de données via Talend Data Intégration ou AWS Lambda avec Python 
Intégration des données dans BigQuery 
Modélisation des données en objet métier via SQL BigQuery et nos outils de Management des vues 
Mise à disposition des données, des objets métiers et des indicateurs via BigQuery 
Reporting via Data Studio 



DaaS 

Reprise des outils Management des vues, supervision et calcul des indicateurs 
Développements des nouveaux outils et des fonctionnalités 
Conception et Production des jeux d'essai et réalisations des tests unitaires 
Production des livrables et de la documentation de livraison des développements 
Support à l'intégration, à la recette et à la mise en production des développements 



RUN : 

Prise en charge, analyse et résolution des incidents 
Mise en place de la supervision des solutions via nos outils Dynatrace et Opsgenie 



DDesk IT 

Développements des flux d'intégration 
Développements Big Query 
Dataset de données, d'objets métiers et d'indicateurs 
Rapports Data Studio 



DaaS 

Développements de fonctionnalités sur les modules Management des vues, supervision et calcul des indicateurs 
Développements des modules Data Quality et RGPD




 Titulaire d'un Diplôme d'Ingénieur ou équivalent, vous avez 3 ans minimum d'expériences en Cloud et en Data. 
 
 Vous avez les compétences suivantes: 
 


Vous avez déjà développé en Python 



Vous maîtrisez BigQuery et Data Studio 



Vous êtes un expert des environnements Cloud AWS et GCP 

 Motivation et professionnalisme vous permettront de mener à bien cette première expérience chez NEXTON. 
 
 NEXTON c'est aussi et surtout de nombreux moments de rencontres tout au long de l'année : 
 


Des communautés : 2 Meet Up par mois pour partager et échanger avec des experts 



De nombreux moments de rencontres professionnels et extra professionnels tout au long de l'année 



Des moments privilégiés avec votre manager 

 Prêts à nous rejoindre ? 
 Rencontrons-nous !



Qui sommes-nous ? 

 NEXTON accompagne les pure players digitaux et grands comptes dans leur transformation digitale. Nous intervenons pour nos clients sur les phases de conception, de développement sur les dernières technologies, ou encore le pilotage de projets en mode agile.
 


 NEXTON vous propose :
 



une diversité de projets et d'environnements de travail (Orange, Groupe Bollore, BNP, Total …)   
un programme de suivi de carrière sur-mesure associé à une politique de formation dynamique  
des moments de rencontres lors d'évènements extra-professionnels tout au long de l'année 



 Alors pourquoi ne pas commencer votre carrière chez NEXTON par ce poste ?
",PostedAujourd'hui,CDI,,https://www.indeed.com/rc/clk?jk=7664c6045c472402&fccid=0533c2edf28f1ff5&vjs=3
DevOps / Cloud,Sept Lieues,Télétravail à Paris (75),"L'ENTREPRISE
L'entreprise existe depuis plus de trente ans. Elle permet d'automatiser le trading.Actuellement 250 collaborateurs, ils sont présents à l'international (aux Etat-Unis, en Angleterre et en France).
Remote friendly : 2 jours de remote par semaine + 1 mois de remote l'étéPackage : Fixe + Bonus garanti (Bonus cash, intéressement, participation...)
LE POSTE / LES MISSIONS
Participez à la création d'une équipe DevOps !
Vos missions seront les suivantes :- Migration des applications vers AWS : Optimiser son coût, sa fiabilité et ses performances- Gestion de l'infra-as-code- Fournissez l'ensemble des outils et services permettant de faciliter le travail des équipes de dev et d'ingénierie- Création de pipelines de données efficaces et fiables
PROFIL RECHERCHÉ
DevOps junior ou confirmé vous avez une première expérience significative sur les différents services d'AWS (ou autre cloud).Vous avez une réelle appétence pour l'automatisation et aimez promouvoir les bonne pratiques DevOps.
Curieux et ouvert d'esprit, vous aimez faire de la veille technologique et tout connaitre sur les outils DevOps !
Type d'emploi : Temps plein, CDI
Salaire : 55 000,00€ à 75 000,00€ par an
Avantages :

Horaires flexibles
Participation au Transport
RTT
Titre-restaurant
Travail à domicile

Programmation :

Du Lundi au Vendredi
Horaires aménageables

Types de primes et de gratifications :

Primes
",EmployerDernière activité : il y a 2 jours,De 55 000 € à 75 000 € par anCDI +1Horaires aménageables +1,De 55 000 € à 75 000 € par an,https://www.indeed.com/company/SEPT-LIEUES/jobs/Devops-7d6351e97282b6a3?fccid=d98bfa22633409bb&vjs=3
Devops F/H,Kent FR,Saint-Denis (93)+ 1 lieu,"


KENT, marque de GroupAgora dédiée aux recrutements de profils IT, recherche 1 Devops F/H. 





Rôles & Missions 

Vous avez soif de nouvelles aventures et souhaitez réaliser de nouveaux challenges professionnels ? Kent a un poste pour vous !
 Dans une entreprise leader du secteur de la construction, vous pourrez vous épanouir en tant que Devops au sein d'une équipe prête à tout pour relever de nouveaux challenges et proposer des produits adaptés à l'ensemble de leurs clients. Venez rejoindre un groupe qui a plus de 30 ans d'existence et qui continue aujourd'hui d'exceller.
 Entreprise mondialement reconnue dans son domaine et encore en pleine croissance, l'esprit d'équipe, l'authenticité et la bienveillance sont des valeurs fortes dans l'équipe que vous intègrerez. Vous viendrez compléter l'équipe et participer au bon fonctionnement de ce groupe mondial. Au sein de la Direction des Systèmes d'Information, votre fonction principale sera l'unification et l'automatisation des processus.


 Vos missions :

Mise en production et intégration d'applications ;
Définition et mise en place d'un environnement d'intégration continue ;
Mise en place de l'automatisation de l'ensemble des déploiements ;
Travail sur les différents serveurs ;
Mise à disposition de la documentation technique ;
Mise en place d'amélioration des outils ;
Suivi et maintenance de l'application et du site internet.

Environnement technique : Linux, Ansible, Shell, Azure, Bash, etc...

Profil Attendu 

Vous justifiez d'une première expérience significative dans un poste similaire, et vous êtes motivé !
 Vous êtes une personne :

Capable d'analyser et de comprendre des applications spécifiques ;
Autonome, Rigoureuse et Organisée ;
Polyvalente et Flexible ;
Forte de proposition ;
Vous disposez d'une aisance relationnelle et rédactionnelle ;
Vous disposez d'un anglais technique minimum ;
Vous avez des connaissances en automatisation et en mise en production d'application.

Ce poste vous intéresse ?
 N'hésitez plus et postulez ! Nous nous ferons un plaisir d'échanger avec vous.

Date de début souhaitée

01/03/2022




",Postedil y a 30+ jours,De 50 000 € à 55 000 € par anCDI,De 50 000 € à 55 000 € par an,https://www.indeed.com/rc/clk?jk=09deeb47f1d4edce&fccid=09ecd99529732200&vjs=3
Ingénieur DevOps / Cloud Junior,kodemade,92120 Montrouge,"Kodemade accompagne les entreprises dans leur projet de digitalisation. Du conseil à la conception, de la réalisation à la production.Tu souhaites contribuer à une vision dynamique des services d’infrastructure ? L’idée d’intégrer des équipes motivées, soudées et tournées vers les technologies de demain te fait envie ? Alors rejoint dès aujourd’hui l’entité kodemade.
Tes compétences :
Titulaire d’un BAC+5, tu es autonome, impliqué(e) et tu as l’esprit d’équipe ?Alors tu es LE/LA candidat(e) idéal(e) pour ce poste !Au-delà des compétences métiers, nous recherchons des talents qui souhaitent exprimer leur potentiel et ouvrir les possibles avec nous. Ce sont avant tout ton engagement, ton esprit d'équipe et ta curiosité qui feront la différence.
Les avantages à nous rejoindre :

Une ambiance de travail dynamique et conviviale.
Une montée en compétence accélérée sur la technologie Devops.
Une plateforme de formations complète et diversifiée.
Des consultants coach qui vous accompagnent tout au long de votre évolution.
Statut cadre.
Salaire très attractif.
Région : France entière.

Type d'emploi : Temps plein, CDI
Salaire : 32 000,00€ à 38 000,00€ par an
Avantages :

Horaires flexibles
Participation au Transport

Programmation :

Horaires aménageables
Périodes de travail de 8 heures
Travail en journée

Types de primes et de gratifications :

Heures supplémentaires majorées
Prime annuelle
Primes
",EmployerDernière activité : il y a 2 jours,De 32 000 € à 38 000 € par anCDI +2Périodes de travail de 8 heures +3,De 32 000 € à 38 000 € par an,https://www.indeed.com/company/kodemade/jobs/Ing%C3%A9nieur-Devops-022484c01bce3f2a?fccid=bd646c0af4d2ef0a&vjs=3
Stage de fin d'étude Bac+5 : Cloud / Devops H/F,Ippon technologies,75017 Paris 17e,"Quelques mots sur Ippon : Vous rejoignez notre équipe Cloud & DevOps, composée de 71 experts sur nos 8 agences en France. Nous accompagnons nos clients dans leur Cloud Journey.Le Cloud chez Ippon, c’est déjà plus de 200 certifications AWS, GCP et AZURE, desspeakers à l’AWS Summit, au Cloud Nord, Devfest Lille, DevoxxFR et bien d’autres en 2022.
Présentation : Le projet a pour but de capitaliser autour de la mise en place d’une solution intégréepermettant d’avoir une visibilité du niveau de sécurité de la plateforme AWS deproduction en temps réel et de pouvoir réagir de manière proactive.Cette solution devra être construite à partir des bonnes pratiques d’architectures et de sécurité, mais aussi de déploiement des services AWS en intégrant une réflexionFINOPS.La solution devra pouvoir être gérée de manière centralisée par une équipe dédiée et sera dotée d’un système d’alerting et de monitoring.
Le contexte : - Ippon est partenaire Advanced AWS- Le stage sera réalisé en binôme de préférence, accompagné d’un expert Ippon- Vous bénéficierez des ressources de formation et de l'expertise de notre practice Cloud & DevOps, ainsi que du support de la communauté. Passage de la certification AWS Solution Architect Associate
Description du poste : L’équipe en charge de ce projet devra:- Concevoir l’architecture en se basant sur les bonnes pratiques existantes et proposer des solutions adaptées aux besoins de la société.- Déployer une plateforme MVP en “Infrastructure as Code” permettant d'offrir une solution clés en main à l’équipe en charge de la plateforme Cloud.- Définir les seuils d'alertes et tester la solution en simulant des problèmes de sécurité.- Etre le sponsor de ce nouveau service dans la société.
L’écosystème dans lequel tu vas évoluer : - AWS : Security Hub, AWS Config, Lambda, GuardDuty, CloudTrail …- Infra as Code : Terraform- GitLab CI
Ta mission: tirer profit de ces 6 mois de stage pour te préparer à appréhender le monde passionnant du Cloud Public à nos côtés
Type d'emploi : Temps plein, StageDurée du contrat : 6 mois
Salaire : 1 400,00€ par mois
Avantages :

Participation au Transport
Titre-restaurant

Programmation :

Du Lundi au Vendredi
Périodes de travail de 8 heures
Repos le week-end
Travail en journée

Date de début prévue : 06/03/2023",EmployerDernière activité : il y a 2 jours,1 400 € par moisTemps plein +1Périodes de travail de 8 heures +3,1 400 € par mois,https://www.indeed.com/company/Ippon-technologies/jobs/Stage-Fin-%C3%89tude-Bac-1e003c25710cd5f9?fccid=9729ce5952c9416f&vjs=3
Ingénieur DevOps H/F,OPEN,92300 Levallois-Perret+ 1 lieu,"

  ÊTRE INGENIEUR DEVOPS CHEZ OPEN, CONCRETEMENT, C’EST QUOI ?
 


   Vos missions
 

   Intégré(e) au sein d’une équipe Open, vous assurez :
 

 La création et la maintenance des pipelines CI/CD
 Le déploiement régulier et l’automatisation de l’infrastructure et des applications (infra-as-code)
 L’automatisation des tests et des analyses de code ainsi que leur exécution au plus tôt dans le process de développement
 Une supervision étroite des environnements par la définition de métriques factuelles & pertinentes



   Au-delà de vos compétences techniques, vous contribuez à :
 

 La bonne collaboration entre développeurs, responsables fonctionnels et exploitants de l’application
 L’accompagnement du client dans sa démarche d’amélioration continue et sa transformation DevOps



   Environnement technique
 

 Outillage: Docker, Kubernetes, Ansible, Terraform, Git, Gitlab CI/CD, SonarQube, Nexus, Prometheus, Grafana, Elastic Stack, …
 Scripting: Python, Go, Shell, …
 Cloud Computing (AWS, Azure, GCP, OVHcloud, Scaleway, …) et Infra On-Premise



   Vous recherchez un poste en CDI qui vous garantira une réelle immersion technique au cœur d’un écosystème stimulant et innovant ?
 

   Rejoignez-nous !
 


   LES PROCHAINES ETAPES
 


   On attend votre candidature avec impatience ! De notre côté, nous nous engageons à :
 

 Vous proposer un process de recrutement rapide mais efficace : un entretien technique et un entretien RH
 Vous apporter une réponse sous 24H



   QUI SOMMES-NOUS ?
 


   Positionné sur les technologies émergentes, Open accompagne au quotidien les entreprises et les organisations dans leurs enjeux de transformation industrielle et digitale.
 


   Notre ambition : le faire avec vous !
 


   Ce sont nos Ambassadeurs qui en parlent le mieux, découvrez leurs témoignages sans filtre :
 


   CODE REC : ABE18628
 

   Qu’attendez-vous pour être Open ?
 
",Postedil y a 1 jour,CDI,,https://www.indeed.com/rc/clk?jk=80187cdd32226112&fccid=8451c5712fa475c4&vjs=3
Apprenti Devops H/F,Neocase Software,92250 La Garenne-Colombes,"Qui sommes-nous ?
Neocase Software est éditeur de logiciel SaaS, leader mondial de la digitalisation des processus Ressources Humaines et Finance. Nos solutions sont utilisées par plus de 5 millions d’employés à travers le monde en majorité au sein de grands comptes internationaux.
Les nouvelles technologies et le monde de la gestion RH, vous intéressent ? Pour accompagner l’expansion de Neocase en Europe, nous recherchons de nouveaux collaborateurs souhaitant rejoindre une équipe passionnée, dynamique et innovante, et évoluer dans une société d’envergure internationale.
Envie de valoriser votre expérience ?
Au sein du pôle R&D et en collaboration avec le pôle Cloud de la société, vous évoluez dans une équipe pluridisciplinaire agile et participez à la construction de l’usine logicielle des différentes composants du produit Neocase.
Vos missions : 
· Participer aux chantiers Devops au sein de la R&D.
· Contribuer à l’automatisation de nos chaines de déploiements continues et de builds avec nos devops, devs et cloud admins
· Partager et documenter sa connaissance.
Notre environnement : 
· Azure DevOps, GitHub Actions
· Cloud Azure, Terraform
· Monitoring avec ElasticSearch
· Powershell
· Visual Studio , C#
· SQL Server, PostgreSQL
· SonarCloud
Votre profil
Vous avez une expérience dans l'univers Devops ou Dev avec les technologies Microsoft ou OpenSource
Curieu.x.se, autonome et créati.f.ve, vous êtes en veille active sur les technologies de votre métier.
Vous aimez résoudre des problématiques, trouver les meilleures solutions techniques.
Vous êtes reconnu(e) pour votre esprit d’équipe, votre sens du service et votre détermination.
Vous avez une ou plusieurs des compétences ci-dessous : 
· Pipelines : Azure Pipelines ou Github Actions
· Scripting : Powershell , bash ou autres
· SGBD : SQL Server ou PostgreSQL
· Dev : C# ou autres languages
Perspectives d’apprentissage et d’évolutions : 
· Github Actions, Azure devops
· Cloud Azure
· Formation pluralsight sur les certifs azure
· Architectures distribuées
· CI , CD , IAC
Type d'emploi : Alternance
Avantages :

Participation au Transport
Titre-restaurant
Travail à domicile

Programmation :

Travail en journée
",Postedil y a 8 jours,AlternanceTravail en journée,,https://www.indeed.com/company/Neocase-Software/jobs/Apprenti-Devops-ed1518111f921cd8?fccid=c2b72a6301181c71&vjs=3
Ingénieur DevOps Junior MONTPELLIER H/F,Capgemini,Montpellier (34)+ 1 lieu,"


Description de l'entreprise



 Capgemini accompagne les entreprises pour faire de leurs infrastructures un accélérateur de transformation digitale. Du conseil à la conception, de la réalisation à la production, nous offrons à nos clients une gamme complète de services combinant sécurité, évolutivité, optimisation et innovation.
 Tu souhaites contribuer à une vision dynamique des services d’infrastructure ? L’idée d’intégrer des équipes motivées, soudées et tournées vers les technologies de demain te fait envie ? Alors rejoint dès aujourd’hui l’entité Cloud Infrastructure Services.





 Ton rôle et tes compétences


 
En tant qu’ingénieur DevOps junior, tu auras pour missions :

 Rechercher et trouver des solutions avec les produits du marché pour les présenter aux clients
 Automatiser nos tâches à l’aide du scripting 
CI/CD
 Identifier les standards et référentiels de sécurité pour concevoir et rédiger des architectures 
Installer et configurer l’infrastructure de nos clients
 Rédiger les livrables des activités précédentes sur les outils bureautiques
 Rédiger des procédures techniques


 Tes compétences
 Titulaire d’un BAC+3 à BAC+5, tu es autonome, impliqué(e) et tu as l’esprit d’équipe ?
 Alors tu es LE/LA candidat(e) idéal(e) pour ce poste !





 Les avantages à nous rejoindre


 

Une ambiance de travail dynamique et conviviale
 Un CSE offrant de nombreux avantages (vacances, chèques cadeaux, titres restaurant…)
 Une plateforme de formations en e-learning complète et diversifiée
 Un Career manager qui vous accompagne tout au long de votre évolution
 Et pour votre intégration, nous laissons nos collaborateurs vous en parler.


 Offre à pourvoir sur Aix/Marseille, Nice, Montpellier et Bagnols-sur-Cèze.
 https://www.capgemini.com/fr-fr/carrieres-ancien/le-recrutement-et-l-integration-chez-capgemini/
 Capgemini, entreprise handi accueillante, conformément à la norme AFNOR NF X50-783, est également signataire de la charte de la diversité en entreprise.

 Alors convaincu ?
 Postule vite et rejoins-nous !



",Postedil y a 11 jours,CDI,,https://www.indeed.com/rc/clk?jk=d24bbe325b4cf645&fccid=105ecfd0283f415f&vjs=3
